Choi Byung-Wook | 최병욱 | Jeju United FC | Midfielder | 24
Shin Sang-Eun | 신상은 | Jeju United FC | Midfielder | 11
Yoo Seung-Jae| 유승재 | Jeju United FC | Midfielder | 77
Gytis Paulauskas | 기티스 | Jeju United FC | Forward | 9
Kim Sin-Jin | 김신진 | Jeju United FC | Forward | 18

Kim Jeong-Hoon | 김정훈 | FC Anyang | Goalkeeper | 23
Kim Tae-Hoon | 김태훈 | FC Anyang | Goalkeeper | 1
Kim Da-Sol | 김다솔 | FC Anyang | Goalkeeper | 31
Hwang Byeong-Geun | 황병근 | FC Anyang | Goalkeeper | 41
Kim Sung-Dong | 김성동 | FC Anyang | Goalkeeper | 42
T. Oude Kotte | 토마스 | FC Anyang | Defender | 55
Kwon Kyung-Won | 권경원 | FC Anyang | Defender | 21
Lee Chang-Yong | 이창용 | FC Anyang | Defender | 4
Kim Young-Chan | 김영찬 | FC Anyang | Defender | 5
Hong Jae-seok | 홍재석 | FC Anyang | Defender | 20
Kim Ji-Hoon | 김지훈 | FC Anyang | Defender | 3
Kim Dong-Jin | 김동진 | FC Anyang | Defender | 22
Ju Hyun-Woo | 주현우 | FC Anyang | Defender | 99
Kim Jae-hyeon | 김재현 | FC Anyang | Defender | 25
Lee Tae-Hee | 이태희 | FC Anyang | Defender | 32
Kim Min-Ho | 김민호 | FC Anyang | Defender | 37
Jeong Jun-Yeon | 정준영 | FC Anyang | Defender | 89
Lee Jin-Yong | 이진용 | FC Anyang | Midfielder | 26
Kim Jung-Hyun | 김정현 | FC Anyang | Midfielder | 8
Han Ka-ram | 한가람 | FC Anyang | Midfielder | 13
Kang Ji-Wan | 강지완 | FC Anyang | Midfielder | 6
Choe Gyu-Hyeon | 최규현 | FC Anyang | Midfielder | 6
Matheus Oliveira | 마테우스 | FC Anyang | Midfielder | 7
Kim Bo-Kyung | 김보경 | FC Anyang | Midfielder | 24
York Rafael | 라파엘 | FC Anyang | Midfielder | 44
Jang Jung-Woo | 장정우 | FC Anyang | Midfielder | 77
Oh Hyeong-Jun | 오형준 | FC Anyang | Midfielder | 70
Choi Geon-Joo | 최건주 | FC Anyang | Midfielder | 27
Airton Moisés | 아일톤 | FC Anyang | Midfielder | 11
Ivan Jukic | 유키치 | FC Anyang | Midfielder | 10
Moon Seong-Woo | 문성우 | FC Anyang | Midfielder | 14
Park Jeong-Hun | 박정훈 | FC Anyang | Midfielder | 15
Choe Hyun-Woo | 최현우 | FC Anyang | Midfielder | 71
Kang Ji-Hoon | 강지훈 | FC Anyang | Midfielder | 17
Breno Herculano | 엘쿠라노 | FC Anyang | Forward | 9
Kim Un | 김운 | FC Anyang | Forward | 19
Kim Kang | 김강 | FC Anyang | Forward | 47

Kim Hyeong-Keun | 김형근 | Bucheon FC 1995 | Goalkeeper | 1
Kim Hyeon-Yeob | 김현엽 | Bucheon FC 1995 | Goalkeeper | 21
Kim Chan-Young | 김찬영 | Bucheon FC 1995 | Goalkeeper | 50
Patrick William | 패트릭 | Bucheon FC 1995 | Defender | 3
Lee Sang-Hyeok | 이상혁 | Bucheon FC 1995 | Defender | 5
Hong Sung-Wook | 홍성욱 | Bucheon FC 1995 | Defender | 20
Baek Dong-Gyu | 백동규 | Bucheon FC 1995 | Defender | 29
Lee Jae-Won | 이재원 | Bucheon FC 1995 | Defender | 93
Kim Jong-Min | 김종민 | Bucheon FC 1995 | Defender | 2
Lee Ye-Chan | 이예찬 | Bucheon FC 1995 | Defender | 44
Shin Jae-Won| 신재원 | Bucheon FC 1995 | Defender | 77
An Tae-Hyun | 안태현 | Bucheon FC 1995 | Defender | 26
Yu Seung-Hyun | 유승현 | Bucheon FC 1995 | Defender | 66
Yeo Bong-Hun | 여봉훈 | Bucheon FC 1995 | Defender | 25
Thiaguinho Santos | 티아깅요 | Bucheon FC 1995 | Defender | 7
Jeong Ho-Jin | 정호진 | Bucheon FC 1995 | Midfielder | 6
Choe Won-Cheol | 최원철 | Bucheon FC 1995 | Midfielder | 4
Kim Sang-Jun | 김상준 | Bucheon FC 1995 | Midfielder | 16
Yoon Bit-Garam | 윤빛가람 | Bucheon FC 1995 | Midfielder | 8
Kazuki Takahashi | 카즈 | Bucheon FC 1995 | Midfielder | 23
Kim Jong-Woo | 김종우 | Bucheon FC 1995 | Midfielder | 14
Kang Jae-Woo | 강재우 | Bucheon FC 1995 | Midfielder | 88
Rodrigo Bassani | 바사니 | Bucheon FC 1995 | Midfielder | 10
Kim Dong-Hyun | 김동현 | Bucheon FC 1995 | Midfielder | 24
Seong Shin | 성신 | Bucheon FC 1995 | Midfielder | 19
Jefferson Galego | 갈레고 | Bucheon FC 1995 | Midfielder | 11
Kim Seung-Bin | 김승빈 | Bucheon FC 1995 | Midfielder | 71
Kim Kyu-Min | 김규민 | Bucheon FC 1995 | Midfielder | 17
Han Ji-Ho | 한지호 | Bucheon FC 1995 | Midfielder | 22
Kim Min-Jun | 김민준 | Bucheon FC 1995 | Midfielder | 13
Lee Chung-Hyun | 이충현 | Bucheon FC 1995 | Midfielder | 30
Lee Eui-Hyeong | 이의형 | Bucheon FC 1995 | Forward | 18
Victor Gabriel | 가브리엘 | Bucheon FC 1995 | Forward | 63
John Montaño | 몬타뇨 | Bucheon FC 1995 | Forward | 9
Uh Dam | 어담 | Bucheon FC 1995 | Forward | 27

Kim Kyeong-Min | 김경민 | Gwangju FC | Goalkeeper | 1
Roh Hee-Dong | 노희동 | Gwangju FC | Goalkeeper | 21
Kim Dong-Hwa | 김동화 | Gwangju FC | Goalkeeper | 23
Lee Yoon-Sung | 이윤성 | Gwangju FC | Goalkeeper | 71
